number ,AphidMummy,field,plot ,tube ,fertilization,parasitoid,endosymbiont,Mdir,Save,Rpad,Hden,Rins,EPpla,APrho,APuzb,APerv,APave,PRvol,PRgal,AEabd,ALvic,ASsus,ASvul,COcla,PHvil,DEcar
3309,aph,H,1,1,no,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3313,mum,H,1,1,no,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3316,mum,H,1,1,no,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3319,mum,H,1,1,no,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3323,mum,H,1,1,no,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3326,mum,H,1,1,no,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3331,aph,H,1,1,no,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3362,mum,H,4,1,yes,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3366,mum,H,4,1,yes,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3367,mum,H,4,1,yes,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3368,mum,H,4,1,yes,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3471,aph,H,6,1,yes,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3554,aph,H,6,1,yes,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3651,aph,L,4,1,yes,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
3654,aph,L,4,1,yes,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3664,mum,L,4,1,yes,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3669,mum,L,4,1,yes,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3670,mum,L,4,1,yes,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3671,mum,L,4,1,yes,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3672,mum,L,4,1,yes,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3714,aph,L,2,1,yes,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
3751,aph,L,2,1,yes,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3771,aph,L,2,1,yes,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3816,aph,L,1,1,no,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3820,aph,L,1,1,no,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3832,aph,L,1,1,no,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3834,mum,L,1,1,no,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3884,mum,L,1,1,no,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3889,mum,L,1,1,no,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
